KMeans Run-Time: 13.7189768141s
Cost: 25.756733410386204
[40.68535366384525,-73.96109194679572]
[40.76131591475358,-73.98624180983637]
[40.67107013333333,-73.83931226666665]
[40.7468245,-74.3547075]
[40.85503742911152,-73.93273969754254]
[40.837263917525775,-73.46103917525772]
[40.773425056604836,-73.87550201886776]
[40.786381740064265,-73.97511555930673]
[40.719667247181214,-74.00730944351982]
[40.626443837209294,-73.92220790697678]
[40.69210975609779,-74.17967566714536]
[40.644863127163575,-73.78223040657562]
[41.00631572580645,-73.69369153225811]
[40.78847436823106,-73.71923176895308]
[40.62508475052705,-73.95682438510194]
[40.76424659023744,-73.97792464247755]
[40.775889470020985,-73.94715374366129]
[40.71990659545391,-73.95756596696033]
[40.89455,-72.7338]
[40.75154700588616,-73.977276477247]
[40.76855665745858,-73.91621621546973]
[40.72052667378456,-73.99969282441396]
[40.681054374193664,-73.99806098064528]
[41.3074,-72.9456111111111]
[40.937598206278025,-73.83193183856501]
[40.821523381770085,-73.94577926023773]
[40.81450247524751,-74.1213183168317]
[40.84078390804596,-73.8464022988506]
[40.74208366649803,-74.00602612810745]
[41.51893333333334,-72.81516666666666]
[40.43355862068966,-74.28175172413795]
[40.85390533807827,-73.98064483985763]
[40.74896526650193,-73.93903106247795]
[40.716547540983605,-73.5861524590164]
[40.676407200379074,-74.01308209379442]
[40.77092756793238,-73.99065147427258]
[40.73614956581853,-74.00720433551405]
[40.9516,-72.27013333333332]
[40.725134690016525,-73.99423936392874]
[40.74309192921662,-73.99423738710311]
[40.768549875080986,-73.95441064125069]
[40.71806174298373,-73.79054357459377]
[40.75039117647058,-73.42727941176472]
[40.58951310452418,-73.95095881435262]
[41.05261010101012,-73.54237373737372]
[40.67645516262262,-73.98439896747561]
[40.64613359905539,-73.7767589607339]
[40.85745123762378,-73.88300111386138]
[41.06464682539683,-73.83945079365081]
[41.10562040816326,-73.44675510204081]
[40.69080397503281,-73.93267362023666]
[40.713477027027,-73.89512837837837]
[40.693277695256164,-73.96862043603257]
[40.50144842105264,-74.44599789473685]
[40.90602324561403,-73.96439824561403]
[40.858301652892564,-74.16420330578511]
[40.73823049327354,-74.16748101644241]
[40.70453222189431,-73.9233285334907]
[40.70203199999999,-74.55406800000002]
[40.72403230119638,-73.85445425756511]
[40.758075172516115,-73.99162341767496]
[40.764540000000004,-73.27573199999999]
[40.69831686967104,-73.99410167478692]
[40.96597614678898,-73.72328165137617]
[40.811729696969685,-73.63949575757576]
[40.654948698532856,-73.95514363464271]
[40.75953095370008,-73.96882864265939]
[40.66668515625,-74.24138906249999]
[40.66506163873373,-73.93307113594034]
[40.88333737373739,-73.7989484848485]
[40.69011383526374,-73.99516332046339]
[40.64159030764149,-73.78908637115427]
[40.64850000000014,-73.782977999262]
[40.76094243195694,-73.98063326059308]
[40.59018888888889,-73.67485925925924]
[40.76241372351545,-73.97283073211706]
[40.74532297251608,-73.98878630885393]
[40.75852802450229,-73.82484425727415]
[40.84019420880915,-73.94177895595428]
[40.70366350934481,-73.98695329341311]
[40.73986508202206,-74.03378985604274]
[40.71499336283185,-74.07594535398226]
[40.98269173553719,-73.78796280991737]
[40.75734031260071,-73.97495127865798]
[40.220652173913045,-74.05339999999998]
[40.76843912747148,-73.86233290161273]
[40.689671257485045,-73.70861676646707]
[40.79426578840706,-73.97043050939062]
[40.823986010362724,-73.89192227979272]
[40.712164880740296,-73.95078422926285]
[40.79279777158774,-74.05730417827297]
[40.64359901685396,-73.97338047752807]
[40.67655505804313,-73.87218059701492]
[40.90742122905027,-73.86111508379888]
[40.73306644924624,-74.00192804728903]
[40.82802639751553,-73.92376902173915]
[40.72002548611098,-73.98298856944443]
[40.672648243430125,-73.95873172890718]
[40.623128571428595,-74.02653845126834]
[40.76616759044648,-73.96118313010155]
[40.328563333333335,-74.63451166666667]
[40.805514179487155,-73.94738023076906]
[40.85084249999999,-74.4354675]
[40.69069932775851,-73.98569170355778]
[40.72597169412776,-74.00089631037898]
[40.707160435707046,-74.00933650371995]
[40.70776424844726,-73.93847624844716]
[40.68838649025069,-73.91463783658315]
[42.1166,-72.0666]
[40.72013823529409,-74.03542158823527]
[40.776536546529435,-73.95447233028213]
[40.75331255304335,-73.9870694850849]
[40.76605390328788,-73.9682195357832]
[40.5981233419466,-73.97969362618433]
[41.020559722222224,-73.8926763888889]
[40.75417656641604,-73.84812192982457]
[40.92703014705882,-73.77077647058822]
[40.89217879537956,-73.90364735973604]
[40.67147930607187,-73.79676914498144]
[40.734307934386486,-73.97838995139712]
[40.87843018867924,-73.88279559748432]
[40.738283545064085,-73.99027477710526]
[40.604995172413794,-74.12161724137933]
[40.6668352,-74.1016872]
[40.64672384057973,-74.00813304347824]
[41.09531538461539,-74.14267692307692]
[40.66275852478839,-73.90798004836763]
[40.79619079320113,-73.92943847969786]
[40.6432153846154,-73.57722615384617]
[40.73367170447044,-73.99528271463814]
[40.61677512953368,-73.73570155440416]
[40.74421524663677,-74.26040448430496]
[40.722323208448586,-73.94501747548401]
[40.745677714825334,-73.88834249291783]
[40.74474749597673,-73.97552479409302]
