(69,5304)
(138,2326)
(101,516)
(0,4263)
(88,29)
(170,244)
(115,124)
(5,72)
(120,934)
(10,1806)
(56,4090)
(142,15)
(153,51)
(174,2816)
(185,4540)
(42,1626)
(24,661)
(37,7566)
(25,152)
(52,742)
(14,49)
(184,367)
(110,1015)
(125,38)
(196,1016)
(157,41)
(189,925)
(20,5687)
(46,37)
(93,482)
(152,1400)
(57,42)
(78,1706)
(29,5073)
(164,6318)
(179,662)
(106,21)
(121,25)
(84,47)
(147,23)
(61,6993)
(132,2678)
(89,1908)
(133,38)
(116,123)
(1,1003)
(74,12)
(6,5065)
(60,4608)
(117,5341)
(85,239)
(102,29)
(28,13)
(38,649)
(160,2240)
(70,20)
(192,188)
(21,1267)
(137,1674)
(165,119)
(33,12)
(92,25)
(197,16)
(65,6)
(97,34)
(156,39)
(9,33)
(188,22)
(53,3618)
(169,6478)
(141,16)
(109,1)
(124,496)
(77,69)
(193,36)
(96,2187)
(173,918)
(13,31)
(129,157)
(41,2727)
(134,1144)
(73,99)
(128,68)
(105,232)
(2,350)
(166,9)
(32,5543)
(34,64)
(148,226)
(45,514)
(161,2088)
(64,753)
(180,1016)
(17,326)
(149,28)
(176,378)
(191,152)
(22,3042)
(44,9)
(59,15)
(118,9)
(27,5441)
(71,6015)
(12,1277)
(54,3697)
(144,29)
(49,2483)
(181,33)
(86,963)
(159,11)
(187,4069)
(172,234)
(113,3116)
(81,4481)
(76,194)
(7,34)
(39,4088)
(98,29)
(103,2681)
(140,1217)
(91,41)
(66,79)
(155,1171)
(198,9)
(108,780)
(130,24)
(135,8)
(3,7129)
(80,1152)
(167,1692)
(35,23)
(162,837)
(112,2188)
(123,19)
(194,30)
(145,55)
(48,17)
(63,23)
(18,9)
(150,10)
(95,9687)
(50,14)
(67,3774)
(199,47)
(177,1)
(182,310)
(16,23)
(127,6486)
(31,262)
(154,1601)
(11,2451)
(72,126)
(175,505)
(143,278)
(43,1083)
(99,5)
(87,23)
(104,4)
(40,44)
(26,1619)
(158,5716)
(186,3991)
(55,104)
(114,223)
(171,52)
(139,516)
(23,886)
(8,1076)
(75,193)
(119,4177)
(58,120)
(82,3096)
(151,341)
(36,23)
(168,3951)
(146,10)
(30,117)
(51,1011)
(190,3574)
(183,1)
(19,1023)
(107,1956)
(4,1969)
(126,133)
(136,1)
(79,87)
(195,1164)
(94,2945)
(131,522)
(47,27)
(15,4573)
(163,27)
(68,54)
(62,1665)
(178,5190)
(90,79)
(111,1611)
(122,171)
(83,423)
(100,30)
