KMeans Run-Time: 3.955178543s
Cost: 5.941627520889025
[40.74283191568747,-73.99227353105783]
[40.69434830960852,-74.17804368327393]
[40.81937550561799,-73.9413808988764]
[40.64568730235546,-73.7833592771862]
[40.76896176288017,-73.95532954686527]
[40.62694480286738,-73.94825555555556]
[40.720407239309814,-73.98764178544648]
[40.678057894736874,-73.96778848684212]
[40.706410456487525,-74.01135365414869]
[40.763799978350235,-73.97054689326701]
[40.769465404965494,-73.86409023199009]
[41.054296,-73.53712800000002]
[40.719938000000035,-73.94373599999993]
[40.325133333333326,-74.63570666666666]
[40.762134567901235,-73.77696913580245]
[41.026021428571426,-73.76965357142856]
[40.73423043478261,-73.41000869565218]
[40.728273466666764,-74.00067288333344]
[40.676176178179475,-73.98578224661078]
[40.919843939393935,-73.77378787878789]
[40.74308496732025,-73.92391274509804]
[40.62476028571428,-74.02567428571432]
[40.969771111111115,-73.70040666666667]
[40.60575384615385,-73.73458461538462]
[40.64023949579832,-73.97116890756301]
[40.814958823529416,-74.07777176470587]
[40.75382025856313,-73.98493041450091]
[40.70913850148367,-74.00588712907992]
[40.78567996469546,-73.95177210944398]
[40.76344873128449,-73.97762863672187]
[40.70343392670156,-73.92556136125656]
[40.73229924487595,-73.95641251348437]
[40.762165203021716,-73.99672752596793]
[41.14628181818182,-73.26784545454547]
[40.73612080790481,-74.00768927637326]
[40.71170812780265,-73.96430056053804]
[40.8890387283237,-73.90544393063583]
[40.74075707266054,-74.00550407736561]
[40.72055203619909,-73.84683574660633]
[40.75027448902338,-73.99303205904624]
[40.758224464103336,-73.97420991833951]
[40.66707952755905,-73.80040708661416]
[40.678981118881126,-73.86641888111888]
[41.01337808219178,-73.6443301369863]
[40.460800000000006,-74.32682000000001]
[40.683175000000006,-73.53253125]
[40.98978461538462,-74.09580000000001]
[40.862116666666665,-74.44534999999999]
[40.7773006031363,-73.98041411338968]
[40.70742394014964,-73.93805453034084]
[40.75253702252693,-74.02948197845247]
[40.64872411764705,-74.00687764705884]
[40.70130769230768,-73.89822307692309]
[41.04689189189189,-73.70172702702702]
[40.2789,-74.10273333333333]
[40.6662978021978,-73.836089010989]
[40.62697868020304,-73.91304365482233]
[40.77210977408943,-73.96321489165511]
[40.79711666666667,-74.37187499999999]
[40.78217894736842,-74.16451578947368]
[40.717943636363636,-74.34693818181817]
[40.98805333333333,-73.87995666666667]
[40.6510675,-73.63847750000001]
[40.87713076923078,-73.42193846153846]
[40.84000442477876,-73.84866371681414]
[40.8080590747331,-73.95699715302489]
[40.69187752659572,-73.93636675531914]
[40.757936288088494,-73.98076842105276]
[40.73419243008683,-74.00039469623898]
[40.718246982489234,-74.00794294871788]
[40.1766125,-74.0277375]
[40.786458240740714,-73.9785342592593]
[40.67189874608155,-73.95785632183906]
[40.60241666666666,-74.59871666666666]
[40.738380479222656,-73.98740375335147]
[40.74358128044538,-73.97761301322197]
[40.701322810590575,-73.992132382892]
[40.726971921244086,-73.9930456734388]
[40.65399565217392,-74.27390434782609]
[40.720760912698395,-74.04071855158729]
[40.2475,-74.2985]
[40.77961842105263,-73.53040789473684]
[40.65697913043478,-73.92168782608695]
[40.761289428007856,-73.96292788954642]
[40.74558017061289,-73.98584681406673]
[41.07519642857142,-73.841225]
[40.76935798816571,-73.91341375739648]
[40.68732156295225,-74.1824680173662]
[40.73944118060436,-74.03335516514406]
[40.746645777777786,-73.8926248888889]
[40.85957985611512,-73.9274190647482]
[40.67698785166245,-74.01366253196929]
[40.73314039660057,-73.97909541076488]
[40.77201917808219,-73.72453424657535]
[40.71105681818182,-73.74202045454544]
[40.78868181818182,-74.46409772727273]
[40.69810926966294,-73.91239971910112]
[40.87376161616162,-73.834198989899]
[40.82878330019883,-73.92511570576544]
[40.807890697674424,-73.62179302325582]
[40.72814950980392,-73.86966764705882]
[40.72152121212118,-73.95530819128778]
[41.10607916666666,-73.42245]
[40.73547295597485,-74.16544654088051]
[40.773951703320314,-73.87238283742995]
[40.76958179948586,-73.98260231362455]
[40.70180472440944,-73.82187716535434]
[40.731191193511044,-74.00533057164931]
[40.749516986959385,-74.00364704873034]
[40.78164000000001,-72.99942]
[40.65447898989899,-73.95540121212123]
[40.58810740740741,-73.94960370370369]
[40.723585416666666,-73.68220208333332]
[40.702486143790836,-73.98422718954261]
[40.70803163265306,-73.79110612244898]
[40.83289,-74.26512500000001]
[40.608747826086955,-74.11467826086955]
[40.77820795454544,-73.95828433014356]
[40.747708627773235,-73.94852037797862]
[40.424566666666664,-74.2041]
[40.6804579288026,-73.94870938511323]
[40.78604601769912,-73.81721946902654]
[40.68438210922786,-73.91854764595104]
[40.760471406959134,-73.92663388804839]
[40.79376720496896,-73.97116198757767]
[40.87287872340425,-73.9693744680851]
[41.226240000000004,-73.69196]
[41.2333,-73.89533333333333]
[41.06556875,-74.09523124999998]
[40.691292188919185,-73.99576067211623]
[40.66418148148148,-73.72285185185184]
[40.72152599261305,-73.99394506001842]
[40.68888580803934,-73.9865759639049]
[40.69118770794826,-73.96891219963031]
[40.75544511059371,-73.99865064027945]
[40.777145436507915,-73.98930833333334]
[40.79782999999996,-73.93464021739133]
[40.73074533333333,-73.78435466666667]
[40.71917633587787,-73.90777709923664]
[40.712731250000004,-74.25245000000001]
[40.77591414514143,-73.94970190651905]
[40.60000348837209,-73.97710155038759]
[40.72415778191966,-74.00613017707344]
[40.72168192443175,-73.9991374799872]
[40.75611987179488,-73.84311282051281]
[40.95121194029851,-73.82167313432834]
[40.735213923132726,-73.99274135242939]
[40.82804799999998,-73.8956984]
[40.79805,-73.67617500000001]
[40.80972,-73.21998]
[40.952445454545455,-74.14820909090909]
[40.814405,-74.2197675]
[40.59062222222222,-73.81506666666665]
[40.717061868231,-73.96055351985554]
[40.8052859241126,-73.94814700122393]
[40.556954545454545,-74.30089999999998]
[40.728635955056184,-73.81353483146067]
[40.71942101449275,-74.07486231884057]
[40.724988261253266,-73.98148164165949]
[40.68365666666673,-73.97657066666676]
[40.714930869175646,-74.01374865591379]
[40.762263412549096,-73.98504982048237]
[40.69043673673671,-73.95573553553552]
[40.86322565055762,-73.88722342007436]
[40.90498205128205,-74.06197435897435]
[40.909267692307694,-73.85976153846153]
[40.735421359223295,-73.61814466019419]
[40.74485417939472,-74.0072715079145]
[41.3104,-72.9337]
[40.75853471233403,-73.98967240715797]
[40.751457934230864,-73.9766478702273]
[40.75553374639766,-73.96923288184445]
[40.93215454545455,-73.96272272727272]
[40.803336311239214,-73.96535115273774]
[40.67448888888889,-73.76810864197533]
[40.83762045454546,-74.13888863636365]
[40.72996071223434,-73.9873706873444]
[40.82309254658385,-73.95483757763972]
[40.86256500000001,-74.01757]
[40.71498016997164,-73.99394815864025]
[40.76294642857143,-74.21716428571428]
[40.66102341463415,-73.8913073170732]
[40.78046382978722,-74.02233475177307]
[40.64793076923077,-74.41679230769232]
[40.66425686653771,-73.98502398452615]
[40.77055048231512,-73.88652122186494]
[40.763124,-74.268728]
[40.84203095975233,-73.94054489164085]
[40.680651219512214,-73.99807242026264]
[40.78343457300277,-73.97352396694218]
[41.040344,-73.58308400000001]
[40.498435714285705,-74.45190000000001]
[40.94571818181819,-74.26641818181818]
[40.82932592592592,-73.47582592592592]
[40.37424,-74.03442]
[40.76832261340552,-73.99047840216667]
[40.67129052863437,-73.93663436123347]
[40.860863157894734,-74.1855947368421]
[40.741030445423554,-73.99926079295149]
[40.71181287240023,-73.95203676222597]
