KMeans Run-Time: 5.0685363522s
Cost: 207.08737956173877
[40.77806179306275,-73.96058716447122]
[40.646290887067714,-73.78325273515428]
[40.6864991263403,-73.99146944263364]
[40.74539896688042,-73.98749937683722]
[40.75835338877735,-73.97247262164107]
[40.756168955696154,-73.92474297468362]
[41.040254313099034,-73.8679559105431]
[40.783666468842725,-73.38854035608311]
[40.65469204406365,-74.4206088127295]
[40.716080058777365,-74.00766178487423]
[41.06195681818181,-73.5444957070707]
[40.81129171854726,-73.9476849546046]
[40.7650158159579,-73.98622161620727]
[40.68721603361568,-73.92359692959229]
[40.71400689997517,-73.83433243981139]
[40.67852945041387,-73.96470741251645]
[40.87961981382976,-73.84143257978725]
[40.86932107304457,-73.91291639732816]
[40.73772352362202,-73.60882962598421]
[41.15965263157894,-73.04454210526315]
[40.7466223741454,-73.74248315724051]
[40.77037801189255,-73.86859654630507]
[40.69636614809493,-74.18184296912756]
[40.72579720010743,-73.99109324092952]
[41.007607473309584,-73.72953333333334]
[40.62007236084451,-73.98241530024663]
[40.87677299492385,-74.12427786802029]
[40.73921456860368,-74.00356457885655]
[40.71711143774485,-73.95457705970767]
[40.737233447574255,-74.03888792974179]
