KMeans Run-Time: 28.3103246463s
Cost: 23.210461881228383
[40.77754880352085,-73.96042145411225]
[40.64437585441598,-73.78954505104319]
[40.6038788,-73.96747946666667]
[40.644506194690265,-74.30099203539822]
[40.93344047619046,-73.95507142857143]
[40.18776111111111,-74.04303333333333]
[40.72466864998256,-74.00890407728883]
[40.69373890101883,-73.99508660844252]
[40.76838080370052,-73.91722067071419]
[40.751968822194954,-73.97930026900156]
[41.0529541401274,-73.53896305732482]
[40.79225957446809,-74.38887553191489]
[40.76237708646429,-73.96188140466886]
[40.71260456960677,-73.79861795961742]
[40.68674281900696,-73.92829241857986]
[40.72547331131293,-73.9808793641616]
[40.77387182892737,-73.87241853295998]
[40.749776761047045,-74.00408946042924]
[40.76668776777797,-73.99314588667805]
[40.71970773852427,-73.95904977168927]
[40.64373530701755,-74.01735767543859]
[40.89843603603603,-74.02015945945945]
[40.675007052389184,-73.95329478986754]
[40.65703254994123,-73.9166460634548]
[40.73855699358387,-73.99048436755254]
[40.7863487600879,-73.97117103448271]
[40.72605354697954,-73.99241617223922]
[40.739850033860805,-73.98438398079202]
[40.695311189601476,-74.17831749081671]
[40.8279375443577,-73.92211596877222]
[41.04438275862069,-73.58060172413795]
[40.82494797639119,-73.94517411467115]
[40.86338772532189,-73.88544824034334]
[40.64899594594596,-73.57525675675676]
[40.711605660377366,-73.87620835579514]
[40.74019958925744,-74.03420543443902]
[40.76723807421717,-73.95394993792246]
[40.9516,-72.27013333333332]
[40.70549031392315,-74.01023761385781]
[40.72405995239517,-73.94647976792615]
[40.74977795077853,-73.93604671019585]
[40.96050404040403,-73.7245191919192]
[40.61866608344549,-74.0288510094213]
[40.79500723582286,-73.97098613263105]
[41.3074,-72.9456111111111]
[40.76996476634621,-73.95945745693312]
[40.6436521916412,-73.96178124362899]
[40.59730476190475,-74.61690714285714]
[40.72856828349127,-74.00119380622455]
[40.68850566247219,-73.94356843079191]
[41.155750000000005,-73.24235000000002]
[40.75796809426224,-73.99132546448106]
[40.33719629629629,-74.6488203703704]
[40.502367708333345,-74.44635416666668]
[40.73695651408448,-74.17068609154927]
[40.62538447552449,-73.96650545454544]
[40.71374005934718,-73.74846053412466]
[40.74509088105733,-73.95561303964759]
[40.73891656314698,-73.8176111801242]
[40.62866167146976,-73.9193030259366]
[40.72954578313256,-73.85785662650605]
[40.7231792372002,-73.99687320217915]
[40.73285744472848,-73.99324931283617]
[40.75138106060606,-73.42550303030305]
[40.731975257731946,-74.06462329896902]
[40.65573795620438,-73.64976204379562]
[40.89029299065423,-73.90469559412554]
[40.99699151515152,-73.67952666666666]
[40.714478512960355,-73.940848090041]
[40.91752263157894,-73.78046105263158]
[40.81555401069517,-74.0891914438503]
[40.77227014263381,-73.96459492955333]
[40.76396038924152,-73.97829024528838]
[40.64600901785733,-73.77679630952554]
[40.82573655913979,-73.61474408602152]
[40.77369421444424,-73.9476286665794]
[40.806054978453155,-73.9619555001135]
[40.74848250681202,-73.92055918256133]
[40.252785714285714,-74.48424285714285]
[40.715725294811214,-74.0140037441042]
[40.84788039603961,-73.83849465346536]
[40.66920780814276,-73.936436196319]
[40.764754765362746,-73.9690423519552]
[40.76105183113087,-73.9728852651453]
[40.7095699186992,-74.08331626016262]
[40.76955678564649,-73.8642546860079]
[40.67399749328554,-73.98055683079673]
[40.77185059002681,-73.88676299961898]
[40.74638313175286,-73.98365187872929]
[40.82069354838709,-73.2212193548387]
[40.97214464285714,-74.1351857142857]
[40.66565072103426,-73.98755057185478]
[40.75070080576817,-73.99369635814206]
[40.82656285097193,-73.87929848812094]
[40.744933601570935,-73.99046457345459]
[40.777339701973546,-73.9795153282318]
[40.58277623762379,-73.95939273927394]
[40.77926063829786,-74.48206276595745]
[40.68431168073985,-73.97613793727369]
[40.69238182407585,-73.96881917008858]
[40.74648672985782,-74.2685450236967]
[40.712470405827474,-74.00809284079033]
[40.865548750000016,-74.180355]
[41.51893333333334,-72.81516666666666]
[40.648951858254144,-73.97642324978388]
[40.71078890160185,-73.8362320366133]
[40.78177647058824,-74.16036323529411]
[40.67539639097745,-73.8533063157895]
[41.130360869565216,-73.39575217391304]
[40.735124830828475,-74.0003297794309]
[41.06629655172414,-74.1364724137931]
[40.64565978561411,-73.78240382715137]
[40.687127044312255,-74.18267894015557]
[40.923100000000005,-72.76443333333333]
[40.77940303030304,-73.72844962121214]
[40.74821534263191,-73.94540521528201]
[40.768997100448566,-73.98316630997614]
[40.825922000000006,-73.98887879999998]
[40.67425014005603,-73.77012829131651]
[40.73210871559635,-73.64391009174314]
[40.58022078853049,-73.98399605734767]
[40.72179488510006,-74.04619725722767]
[41.25529090909092,-73.71104545454546]
[40.75420799229294,-73.9731899928793]
[40.74232794117648,-73.70263897058821]
[40.72615247524752,-74.15231089108912]
[41.072011926605505,-73.69777155963307]
[40.77657782524274,-73.95445155339802]
[40.87560855018585,-73.96571412639405]
[40.81771555555556,-73.48550666666668]
[40.65186132897604,-74.00357407407408]
[40.6713297029703,-74.10746534653462]
[40.62412721893491,-74.00432071005916]
[40.76186798633161,-73.98503077648195]
[40.79624224751066,-73.92949530583216]
[40.70241368205796,-73.98825983983639]
[40.72374324732668,-74.00379826575686]
[40.787604191616765,-74.05046377245507]
[40.81228076923077,-73.09154230769232]
[40.70775127620113,-74.00525813489226]
[40.86878064516128,-73.40688387096775]
[41.26639999999999,-74.16886666666666]
[40.75858252930992,-73.99908177013285]
[40.81345396039603,-74.23165]
[40.61383793103448,-73.73286748768476]
[40.77587234649435,-73.98893088124943]
[40.713807886662906,-73.95341718101415]
[40.632822070312535,-74.02777949218748]
[40.758646778042966,-73.77694176610973]
[41.023711827956994,-73.87847956989249]
[42.1166,-72.0666]
[40.689300992015454,-73.95766051294476]
[40.681924009716035,-73.99685506352779]
[40.98183834586466,-73.78832406015037]
[40.78581982642824,-73.97864792850531]
[40.73996753176918,-74.00570305477761]
[40.53473867924529,-74.31549150943398]
[40.59427575757576,-74.16055454545453]
[40.67646194444456,-74.01290004629628]
[41.027499305555565,-73.75126909722226]
[40.85846818181819,-74.44529848484848]
[40.75643318715928,-73.9833792095356]
[41.27,-73.9109]
[40.78128638579369,-73.94780012186621]
[40.71828913891917,-74.00773326015405]
[40.70149987767571,-73.93265752293574]
[40.720172668997655,-74.03544726107224]
[40.67635057915058,-73.72226138996139]
[40.73268145683463,-74.00670847122213]
[40.7455662943177,-73.97538813339867]
[40.65861732161322,-73.95442383660806]
[40.91994897959183,-74.25358775510203]
[40.74492687489547,-74.00662591448145]
[41.075313793103454,-73.82982931034482]
[40.71230100979207,-73.96396705936361]
[40.68816616541353,-74.22917368421052]
[40.91509166666666,-74.08489166666666]
[40.88798168168168,-73.84866456456454]
[40.85113355998055,-73.93442112676065]
[40.716015536661025,-73.99083638471771]
[40.730682063163684,-73.98656640764254]
[40.75779466666666,-73.84059723809526]
[40.806282302193665,-73.94707157998504]
[40.785382539482015,-73.95462723941883]
[40.94011093750001,-73.84692468749999]
[40.690387906472445,-73.98598892846061]
[40.3769,-74.18151333333333]
[41.008555357142846,-74.0611232142857]
[40.71423743589743,-74.36378820512822]
[40.699001614530744,-73.90622159434918]
[40.63056847507333,-73.94544076246329]
[41.04846086956521,-73.99891304347827]
[40.67652571981086,-73.96634045981952]
[41.086911764705896,-73.47779117647057]
[40.59501558441558,-73.90054285714287]
[40.598177688172036,-73.94291451612905]
[40.70633003128257,-73.94612134167521]
[40.8089,-72.6419]
[40.86117411764706,-74.0644723529412]
[40.65768379746835,-73.88744594936705]
[40.756860034132345,-73.9669908152975]
[40.70517533003301,-73.9218686881188]
[40.72670888888887,-73.9008406666667]
[40.799488535031834,-73.67689936305732]
[40.82930000000001,-74.14103193277309]
[40.7419764921695,-73.99670006570977]
[40.74775676300581,-73.888376416185]
[40.752757464332134,-73.9870502788587]
[40.758277749734816,-73.97775022462234]
[40.78487706666666,-73.81726213333336]
[40.61500444444446,-74.08572074074075]
[40.69089200336699,-74.17793686868681]
[40.60535492063492,-73.99514380952382]
[40.70808384331131,-74.015310879527]
[40.67129502688171,-73.80329798387099]
[40.68323066147863,-73.91385447470816]
[40.765553246753235,-73.52814740259743]
[40.7207812186916,-73.98645689719598]
[40.729383333333345,-73.28244000000001]
[40.73372534385856,-73.97798225092663]
[40.731160358565816,-73.9558524188958]
[40.73606216216215,-73.60144425675679]
[40.75453755254555,-74.02847080803369]
[40.71894677794766,-74.000290982244]
[41.02784579439251,-73.62926542056076]
