KMeans Run-Time: 7.9088374339s
Cost: 5.836223246856707
[40.750491665163196,-73.99338591015704]
[40.64593427307884,-73.78244690436748]
[40.72627991071434,-73.99262519459694]
[41.02631454545454,-73.76869272727272]
[40.66250859728505,-73.91817239819004]
[40.76947979633411,-73.86408061099783]
[40.90625,-73.17575]
[40.69112376836649,-73.96867968885053]
[40.72959,-74.15137333333332]
[40.796368732394356,-73.93347070422536]
[40.83279999999999,-74.16075172413792]
[41.11289411764706,-73.40217058823528]
[40.77436103151858,-73.95412819484237]
[40.769914471122604,-73.99072965606757]
[40.585031250000014,-73.9844]
[40.65504761904762,-74.37425238095238]
[40.88583582887701,-73.90637326203206]
[40.80041666666667,-73.62553333333335]
[40.62992404371584,-73.94721202185796]
[40.70274979919672,-73.98795783132537]
[40.72300962807429,-74.00606838632268]
[40.71674305841918,-73.95921714776632]
[40.70478163265309,-73.90735765306124]
[40.681223478260875,-73.86326260869565]
[40.6501923766816,-73.97596233183856]
[40.73255765736007,-73.9914681480258]
[40.7410755473491,-74.00037219730945]
[40.751298413497814,-73.9767682447746]
[40.325133333333326,-74.63570666666666]
[40.691747452934585,-74.17964656699888]
[40.7823889932886,-73.97392590604031]
[40.76204048257368,-73.97231681858814]
[40.82902027027029,-73.94459227799224]
[40.811096923076924,-74.22961846153846]
[40.667331395348846,-73.88684069767444]
[40.763357924980035,-73.97817757382288]
[40.738014182247056,-73.98824220987056]
[40.8089,-72.6419]
[40.61764999999999,-73.92006122448979]
[40.74959588688936,-74.00384794344475]
[41.05021604938271,-73.54299135802471]
[40.279399999999995,-74.18506666666667]
[40.75290926756353,-73.92311883408074]
[40.49596538461539,-74.44556923076924]
[40.71467619047619,-73.5977476190476]
[40.74918947368421,-73.57413684210525]
[40.862116666666665,-74.44534999999999]
[40.673038195777366,-73.9553667946257]
[40.69350552200176,-73.9951617773943]
[40.66572857142858,-74.24821428571428]
[40.68364528782482,-73.97653871625073]
[40.59425,-74.56227]
[40.828373674588676,-73.92357641681903]
[40.81513461538462,-73.47065]
[40.71210997610515,-73.95001039426516]
[40.72997809862291,-73.98356023989338]
[40.91702459016394,-73.77676393442621]
[40.671059210526316,-73.79484802631579]
[40.80337205692112,-73.96439275549805]
[40.708798971898545,-74.00598824537336]
[40.85507139423079,-73.9329925480769]
[40.793742293464874,-73.97105067817513]
[40.766442072538794,-73.96717626943007]
[40.757739766081876,-73.84106296296294]
[40.86786470588236,-74.04538235294117]
[41.10455,-73.6422]
[40.72032477694729,-73.99761103207118]
[40.76235877997736,-73.98505976178997]
[40.717127037090265,-74.00999670628649]
[40.87119818181819,-73.88050818181814]
[40.58342625,-73.9580025]
[40.72735587050174,-74.00034679727679]
[41.027516,-73.61747200000002]
[40.79897777777777,-73.67856388888889]
[40.561355,-74.30362]
[40.74083275862069,-73.95542769396552]
[40.78673883587784,-73.97773559160306]
[40.731718489219936,-74.00580586319224]
[40.71961302521008,-73.84578403361346]
[41.11290000000001,-73.81557272727274]
[41.3104,-72.9337]
[40.954,-73.7266448275862]
[40.97950952380952,-74.11289047619049]
[40.74354390014118,-74.0059596168941]
[40.765125925925936,-73.78579814814812]
[40.6395596491228,-73.89656929824562]
[40.861795161290324,-73.83904919354838]
[40.74467884615384,-73.89380230769231]
[40.64194047619048,-73.92676190476188]
[40.67698697318012,-74.01365146871008]
[40.7398057746479,-74.03282781690142]
[41.03913142857143,-73.86531428571429]
[40.70979942528735,-73.81523563218394]
[40.84349245283018,-73.97611132075471]
[40.77683192825113,-73.94672134529148]
[40.73396099443749,-74.0003329889885]
[40.7744008988764,-73.96221613483137]
[40.68224256055362,-73.93842041522488]
[40.60602291666666,-73.96731614583331]
[40.75781921909761,-73.97652195023274]
[40.812937878787885,-73.81295151515152]
[41.06556875,-74.09523124999998]
[40.89997777777777,-73.85455972222225]
[40.76993521126761,-73.72674084507044]
[40.7570646471721,-73.9881660129576]
[40.71996052318667,-74.03906623067778]
[40.78868181818182,-74.46409772727273]
[40.595787692307695,-73.93939230769233]
[40.68629855595669,-73.91683790613718]
[40.649991666666665,-73.64968055555555]
[40.723787785317676,-73.98158457742151]
[40.64640355731218,-73.776658695652]
[40.756039000780504,-73.98262783762696]
[40.63704123711341,-74.00011752577319]
[40.65518400852879,-73.95645437100215]
[40.67706091410566,-73.96758770685582]
[40.74762826086957,-73.62302391304348]
[40.778121529411735,-73.98177676470588]
[41.08954166666666,-73.48939166666666]
[40.77482499999999,-73.08879999999999]
[40.65589285714285,-73.55395000000001]
[40.91185128205127,-73.97149487179486]
[40.37424,-74.03442]
[40.767799999999994,-73.33016666666666]
[40.63485793991418,-73.96570042918455]
[40.6764758970887,-73.98583967501699]
[41.14628181818182,-73.26784545454547]
[40.608747826086955,-74.11467826086955]
[40.87457333333333,-73.42791333333332]
[40.810683360258466,-73.94209579967689]
[40.70605454545454,-74.08926727272726]
[40.746833333333335,-74.25223833333332]
[40.87174375,-74.112575]
[40.78322127361789,-73.95474744576632]
[40.609771428571435,-73.73648571428572]
[40.707775843208786,-73.93717119416591]
[40.72889357798165,-73.86910871559633]
[40.706663521158625,-74.01178725956083]
[40.724175791962146,-73.95573579196208]
[40.856362499999996,-73.89238315217393]
[40.78602735042736,-74.00823076923078]
[40.695526832844564,-73.93732038123166]
[40.75551852815895,-73.97041504969229]
[40.742213564668894,-73.98293396424828]
[40.74425317476739,-73.98985654601867]
[40.7194945602365,-73.98906784922413]
[40.92411578947368,-74.2532052631579]
[40.7275715231788,-74.05277649006621]
[40.66839423076923,-73.83465576923076]
[40.71194281970643,-73.96419947589095]
[41.3469,-73.9544]
[40.71918205128205,-73.64340769230769]
[40.728868181818186,-73.69089318181817]
