KMeans Run-Time: 13.0689805144s
Cost: 24.099187740361067
[40.75299271545432,-73.97938045500389]
[40.69436783972876,-74.17813762984973]
[41.10583653846155,-73.41698653846154]
[40.67502593144556,-73.98695717834083]
[40.61549946236559,-73.73699247311829]
[40.72182260896825,-74.03977146440893]
[40.71397180865366,-73.986516420317]
[40.98249304347825,-73.86653826086959]
[40.32897288135593,-74.63757796610172]
[40.82182844827586,-74.12871465517244]
[40.769653767782,-73.8642731353317]
[40.86633768913342,-73.91874731774419]
[40.64578085050925,-73.78112620870124]
[40.727987906126835,-74.0015447210645]
[40.677327665827,-73.93387321578508]
[40.76201392642643,-73.92433521021022]
[40.71063615524873,-73.94085686376663]
[40.827447465145745,-73.9184114068441]
[40.916016666666664,-72.47558333333332]
[40.725186645244655,-73.99381002999091]
[40.72112463186076,-73.79257108433733]
[40.78326213744943,-73.97908048372828]
[41.035836879432615,-73.62314964539004]
[40.68446273291925,-74.10139937888198]
[40.75793782090981,-73.99114042948611]
[40.856115714285714,-74.4425142857143]
[40.86878064516128,-73.40688387096775]
[40.59025741525424,-73.94647987288137]
[40.644379067037946,-73.78953871204354]
[40.737501228878635,-74.16679109062977]
[40.62235125208683,-73.91864006677795]
[40.774421093749986,-73.53421640625002]
[40.75866999437557,-73.99898008061514]
[40.77642091383309,-73.9545376642195]
[40.74392873596747,-73.97470890800423]
[40.75545814266486,-73.82376985195152]
[40.69077969959718,-73.96950066584085]
[40.69374131253352,-73.99487478931326]
[40.82521351351352,-74.20279135135135]
[40.76197010293377,-73.9727856393851]
[40.93684000000001,-73.03176]
[40.756036900581975,-73.98429242178132]
[40.69778133996329,-73.93466283695386]
[41.36028333333333,-72.913]
[40.88429444444444,-73.84787055555557]
[40.74983957057589,-74.0041314161696]
[41.155328571428576,-73.25016285714287]
[40.55189000000001,-74.52227]
[40.798440740740716,-73.67622222222221]
[40.80676625973475,-73.96012569985271]
[40.68067197696737,-73.86459558541266]
[40.751113527576074,-73.99357478503717]
[40.94705824175825,-74.1157098901099]
[40.74159358766239,-73.92620048701302]
[40.89279205298014,-73.79189801324502]
[40.67658965317915,-73.96285111753379]
[40.60918615023474,-73.99841784037562]
[40.71614613144246,-74.01212171117703]
[40.717404986053054,-73.96173537308258]
[40.76876169967584,-73.98320397551352]
[40.702380795376996,-73.98824670292315]
[40.74397708049117,-73.90578171896315]
[40.79645623074291,-73.97018743580982]
[40.676442890443,-74.01295030303031]
[40.77608640124604,-73.97990672636999]
[40.59926296296295,-74.64520000000002]
[40.57150581395348,-74.30792093023257]
[40.73855859375,-74.29394453125002]
[40.619650057670135,-74.02810126874283]
[40.72355404040405,-73.68598888888893]
