(69,58)
(138,1)
(101,1252)
(0,4103)
(88,7053)
(170,36)
(115,37)
(5,5070)
(120,11)
(10,90)
(56,3350)
(142,2582)
(153,5265)
(174,66)
(185,84)
(42,4878)
(24,15)
(37,581)
(25,1444)
(52,1359)
(14,34)
(184,5262)
(110,5636)
(125,15)
(196,251)
(157,91)
(189,103)
(20,325)
(46,5223)
(93,120)
(152,1387)
(57,244)
(78,3725)
(29,66)
(164,24)
(179,4)
(106,1061)
(121,1632)
(84,28)
(147,36)
(61,65)
(132,1079)
(89,218)
(133,3340)
(116,605)
(1,1012)
(74,3110)
(6,2445)
(60,4606)
(117,1697)
(85,32)
(102,1656)
(28,10)
(38,4660)
(160,606)
(70,22)
(192,3650)
(21,122)
(137,80)
(165,492)
(33,1731)
(92,4487)
(197,4748)
(65,1867)
(97,101)
(156,306)
(9,31)
(188,180)
(53,10)
(169,41)
(141,23)
(109,5660)
(124,2870)
(77,1000)
(193,516)
(96,63)
(173,88)
(13,990)
(129,9)
(41,168)
(134,1228)
(73,4020)
(128,119)
(105,317)
(2,1546)
(166,1)
(32,1451)
(34,37)
(148,3155)
(45,106)
(161,50)
(64,18)
(180,1888)
(17,612)
(149,3931)
(176,24)
(191,456)
(22,177)
(44,369)
(59,669)
(118,3309)
(27,2004)
(71,43)
(12,18)
(54,9)
(144,33)
(49,3980)
(181,427)
(86,34)
(159,52)
(187,121)
(172,5958)
(113,7)
(81,2726)
(76,2424)
(7,964)
(39,42)
(98,11)
(103,234)
(140,4159)
(91,3847)
(66,301)
(155,30)
(198,5503)
(108,5)
(130,218)
(135,9)
(3,10283)
(80,7)
(167,1055)
(35,4421)
(162,1)
(112,26)
(123,46)
(194,92)
(145,2186)
(48,327)
(63,671)
(18,3279)
(150,26)
(95,3609)
(50,4941)
(67,4961)
(199,41)
(177,379)
(182,6)
(16,47)
(127,14)
(31,27)
(154,258)
(11,1810)
(72,135)
(175,341)
(143,496)
(43,793)
(99,6331)
(87,240)
(104,2320)
(40,749)
(26,1683)
(158,49)
(186,1075)
(55,44)
(114,56)
(171,113)
(139,24)
(23,133)
(8,26)
(75,4343)
(119,4644)
(58,576)
(82,68)
(151,56)
(36,781)
(168,150)
(146,446)
(30,147)
(51,1684)
(190,2450)
(183,44)
(19,60)
(107,54)
(4,340)
(126,2115)
(136,152)
(79,52)
(195,16)
(94,34)
(131,2606)
(47,3914)
(15,6459)
(163,6064)
(68,284)
(62,1052)
(178,20)
(90,37)
(111,6)
(122,1042)
(83,145)
(100,1)
