KMeans Run-Time: 6.1951160172s
Cost: 6.03987562343268
[40.68550938775511,-73.96047846938772]
[40.64607457457451,-73.77679319319301]
[40.719416582842385,-73.98892543468905]
[40.76238983372922,-73.9969701662708]
[40.74114382871536,-74.04073551637278]
[40.8089,-72.6419]
[40.77396204222309,-73.87238901335634]
[41.00528275862068,-73.8766068965517]
[40.72774826529203,-74.00057040546201]
[40.75705281881796,-73.98104035769832]
[40.69429901610016,-74.17807495527721]
[40.743268686868674,-73.92363670033671]
[41.05250348837209,-73.5413151162791]
[40.8001875,-74.46355]
[40.82837812500002,-73.94535386029409]
[40.727475,-73.3075]
[40.72124325581393,-73.95547525581385]
[40.70947674418605,-74.08595348837208]
[41.09072400000001,-73.83798]
[40.85397352941177,-74.16864117647059]
[40.49101034482759,-74.43613448275862]
[40.73640368681121,-73.99108492334976]
[40.86661176470589,-74.05697941176471]
[40.7926067811159,-73.97206077253216]
[40.652084210526304,-73.65020789473685]
[40.66783888888889,-73.55521666666665]
[40.72421763756925,-74.00605043914658]
[40.77812593643584,-73.95631356413165]
[41.10168846153846,-73.69753846153847]
[40.67697339218164,-74.01353354350564]
[40.732514617414246,-73.97933366754617]
[40.79418888888888,-73.54227499999999]
[40.88346796875,-73.84461562499999]
[40.954,-73.7266448275862]
[40.74474423126131,-74.0070469941161]
[40.70941221252972,-74.00567648691495]
[40.68778974789919,-73.91475378151262]
[40.561355,-74.30362]
[40.778014067995294,-73.98780269636579]
[40.880974180327854,-73.9020131147541]
[40.325133333333326,-74.63570666666666]
[40.76651297662972,-73.96740904059044]
[40.740252932098414,-74.00552872942367]
[40.675754108391644,-73.96916083916085]
[40.81186831999999,-73.94350815999998]
[40.83657803030303,-73.83796969696971]
[40.7634218172904,-73.9779103448277]
[40.906453488372094,-73.97041627906975]
[40.184322222222214,-74.03037777777777]
[40.72052052941871,-73.99745354294282]
[40.69467407407407,-73.80725333333335]
[40.59425,-74.56227]
[40.85148021582735,-73.88678561151083]
[40.74430694444446,-73.89405416666668]
[40.64969999999998,-74.00729104938274]
[40.60420810810811,-73.91337837837838]
[40.73471846153846,-73.69098461538462]
[40.630407975460116,-73.92608159509201]
[40.76933527653216,-73.91318161434982]
[40.666208092485554,-73.89123757225438]
[40.62587973856209,-74.02814215686278]
[40.664388822355285,-73.98559211576848]
[40.71194263285023,-73.96467059178737]
[40.76677239583333,-73.82389895833337]
[40.67893970588236,-73.86584338235292]
[40.719815936952706,-74.045226619965]
[40.723048148148145,-73.79572063492064]
[40.70102896995703,-73.98958299356231]
[40.75705394495412,-74.02693119266058]
[40.37424,-74.03442]
[40.75029680891957,-73.99312618223769]
[40.79954603174603,-73.63772698412699]
[40.94450000000001,-73.83247142857141]
[40.72441697437308,-73.98177147974664]
[40.74771583264974,-73.94850401968827]
[40.75515382506157,-73.97062029064973]
[40.96425555555556,-74.13620555555556]
[40.66989230769231,-74.10364615384614]
[40.71837445255475,-73.84333503649634]
[40.465628571428574,-74.24724285714287]
[40.279399999999995,-74.18506666666667]
[40.80449494584838,-73.95191564380261]
[40.60638088235293,-73.96724607843137]
[40.7365196969697,-74.16810075757576]
[40.740570034489956,-73.98507117062297]
[40.71240598221505,-73.95732700080838]
[40.769461898395676,-73.95479799465238]
[40.68407495009984,-73.97673083832346]
[40.738065517241374,-74.32044482758621]
[40.72673993231817,-73.99306452340663]
